,Passenger Class,Sex,Age,# Siblings / Spouse,# Parents / Children,Fare,Port Embarked,Survived
95,First,Male,30,0,0,27.75,Cherbourg,Did not survive
96,First,Female,24,3,2,263.0,Southampton,Survived
97,First,Female,28,3,2,263.0,Southampton,Survived
98,First,Female,23,3,2,263.0,Southampton,Survived
99,First,Male,19,3,2,263.0,Southampton,Did not survive
100,First,Male,64,1,4,263.0,Southampton,Did not survive
101,First,Female,60,1,4,263.0,Southampton,Survived
102,First,Female,30,0,0,56.93,Cherbourg,Survived
103,First,Male,50,2,0,133.65,Southampton,Survived
104,First,Male,43,1,0,27.72,Cherbourg,Survived
105,First,Female,22,0,2,49.5,Cherbourg,Survived
106,First,Male,60,1,1,79.2,Cherbourg,Survived
107,First,Female,48,1,1,79.2,Cherbourg,Survived
108,First,Male,37,1,0,53.1,Southampton,Did not survive
109,First,Female,35,1,0,53.1,Southampton,Survived
110,First,Male,47,0,0,38.5,Southampton,Did not survive
111,First,Female,35,0,0,211.5,Cherbourg,Survived
112,First,Female,22,0,1,59.4,Cherbourg,Survived
113,First,Female,45,0,1,59.4,Cherbourg,Survived
114,First,Male,24,0,0,79.2,Cherbourg,Did not survive
115,First,Male,49,1,0,89.1,Cherbourg,Survived
116,First,Male,71,0,0,34.65,Cherbourg,Did not survive
117,First,Male,53,0,0,28.5,Cherbourg,Survived
118,First,Female,19,0,0,30.0,Southampton,Survived
119,First,Male,38,0,1,153.46,Southampton,Did not survive
120,First,Female,58,0,1,153.46,Southampton,Survived
121,First,Male,23,0,1,63.36,Cherbourg,Survived
122,First,Female,45,0,1,63.36,Cherbourg,Survived
123,First,Male,46,0,0,79.2,Cherbourg,Did not survive
124,First,Male,25,1,0,55.44,Cherbourg,Survived
125,First,Female,25,1,0,55.44,Cherbourg,Survived
126,First,Male,48,1,0,76.73,Cherbourg,Survived
127,First,Female,49,1,0,76.73,Cherbourg,Survived
128,First,Male,45,1,0,83.47,Southampton,Did not survive
129,First,Female,35,1,0,83.47,Southampton,Survived
130,First,Male,27,0,0,76.73,Cherbourg,Survived
131,First,Female,24,0,0,83.16,Cherbourg,Survived
132,First,Male,55,1,1,93.5,Southampton,Did not survive
133,First,Female,52,1,1,93.5,Southampton,Survived
134,First,Male,42,0,0,42.5,Southampton,Did not survive
135,First,Male,55,0,0,50.0,Southampton,Did not survive
136,First,Female,16,0,1,57.98,Cherbourg,Survived
137,First,Female,44,0,1,57.98,Cherbourg,Survived
138,First,Female,51,1,0,77.96,Southampton,Survived
139,First,Male,42,1,0,52.0,Southampton,Did not survive
140,First,Female,35,1,0,52.0,Southampton,Survived
141,First,Male,35,0,0,26.55,Cherbourg,Survived
142,First,Male,38,1,0,90.0,Southampton,Survived
143,First,Female,35,1,0,90.0,Southampton,Survived
144,First,Female,38,0,0,80.0,,Survived
145,First,Female,50,0,0,28.71,Cherbourg,Did not survive
146,First,Male,46,0,0,26.0,Southampton,Did not survive
147,First,Male,50,0,0,26.0,Southampton,Did not survive
148,First,Male,32,0,0,211.5,Cherbourg,Did not survive
149,First,Male,58,0,0,29.7,Cherbourg,Did not survive
150,First,Male,41,1,0,51.86,Southampton,Did not survive
151,First,Male,42,1,0,52.55,Southampton,Survived
152,First,Female,45,1,0,52.55,Southampton,Survived
153,First,Female,39,0,0,211.34,Southampton,Survived
154,First,Female,49,0,0,25.93,Southampton,Survived
155,First,Female,30,0,0,106.42,Cherbourg,Survived
156,First,Male,42,0,0,26.55,Southampton,Did not survive
157,First,Female,55,0,0,27.72,Cherbourg,Survived
158,First,Female,16,0,1,39.4,Southampton,Survived
159,First,Female,51,0,1,39.4,Southampton,Survived
160,First,Male,29,0,0,30.0,Southampton,Did not survive
161,First,Female,21,0,0,77.96,Southampton,Survived
162,First,Male,30,0,0,45.5,Southampton,Did not survive
163,First,Female,58,0,0,146.52,Cherbourg,Survived
164,First,Female,15,0,1,211.34,Southampton,Survived
165,First,Male,30,0,0,26.0,Southampton,Did not survive
166,First,Female,16,0,0,86.5,Southampton,Survived
167,First,Male,19,1,0,53.1,Southampton,Did not survive
168,First,Female,18,1,0,53.1,Southampton,Survived
169,First,Female,24,0,0,49.5,Cherbourg,Survived
170,First,Male,46,0,0,75.24,Cherbourg,Did not survive
171,First,Male,54,0,0,51.86,Southampton,Did not survive
172,First,Male,36,0,0,26.29,Southampton,Survived
173,First,Male,28,1,0,82.17,Cherbourg,Did not survive
174,First,Male,65,0,0,26.55,Southampton,Did not survive
175,First,Male,44,2,0,90.0,Queenstown,Did not survive
176,First,Female,33,1,0,90.0,Queenstown,Survived
177,First,Female,37,1,0,90.0,Queenstown,Survived
178,First,Male,30,1,0,57.75,Cherbourg,Survived
179,First,Male,55,0,0,30.5,Southampton,Did not survive
180,First,Male,47,0,0,42.4,Southampton,Did not survive
181,First,Male,37,0,1,29.7,Cherbourg,Did not survive
182,First,Female,31,1,0,113.28,Cherbourg,Survived
183,First,Female,23,1,0,113.28,Cherbourg,Survived
184,First,Male,58,0,2,113.28,Cherbourg,Did not survive
185,First,Female,19,0,2,26.28,Southampton,Survived
186,First,Male,64,0,0,26.0,Southampton,Did not survive
187,First,Female,39,0,0,108.9,Cherbourg,Survived
188,First,Female,22,0,1,61.98,Cherbourg,Survived
189,First,Male,65,0,1,61.98,Cherbourg,Did not survive
190,First,Male,28,0,0,27.72,Cherbourg,Did not survive
191,First,Male,46,0,0,28.5,Southampton,Did not survive
192,First,Male,23,0,0,93.5,Southampton,Did not survive
193,First,Male,29,1,0,66.6,Southampton,Did not survive
194,First,Female,22,1,0,66.6,Southampton,Survived
195,First,Male,18,1,0,108.9,Cherbourg,Did not survive
196,First,Female,17,1,0,108.9,Cherbourg,Survived
197,First,Female,30,0,0,93.5,Southampton,Survived
198,First,Male,52,0,0,30.5,Southampton,Survived
199,First,Male,47,0,0,52.0,Southampton,Did not survive
200,First,Female,56,0,1,83.16,Cherbourg,Survived
201,First,Male,22,0,0,135.63,Cherbourg,Did not survive
202,First,Female,43,0,1,211.34,Southampton,Survived
203,First,Male,31,0,0,50.5,Southampton,Did not survive
204,First,Male,45,0,0,26.55,Southampton,Survived
205,First,Female,33,0,0,27.72,Cherbourg,Survived
206,First,Male,46,0,0,79.2,Cherbourg,Did not survive
207,First,Male,36,0,0,40.12,Cherbourg,Did not survive
208,First,Female,33,0,0,86.5,Southampton,Survived
209,First,Male,55,1,0,59.4,Cherbourg,Did not survive
210,First,Female,54,1,0,59.4,Cherbourg,Survived
211,First,Male,33,0,0,26.55,Southampton,Did not survive
212,First,Male,13,2,2,262.38,Cherbourg,Survived
213,First,Female,18,2,2,262.38,Cherbourg,Survived
214,First,Female,21,2,2,262.38,Cherbourg,Survived
215,First,Male,61,1,3,262.38,Cherbourg,Did not survive
216,First,Female,48,1,3,262.38,Cherbourg,Survived
217,First,Female,24,0,0,69.3,Cherbourg,Survived
218,First,Female,35,1,0,57.75,Cherbourg,Survived
219,First,Female,30,0,0,31.0,Cherbourg,Survived
220,First,Male,34,0,0,26.55,Southampton,Survived
221,First,Female,40,0,0,153.46,Southampton,Survived
222,First,Male,35,0,0,26.29,Southampton,Survived
223,First,Male,50,1,0,55.9,Southampton,Did not survive
224,First,Female,39,1,0,55.9,Southampton,Survived
225,First,Male,56,0,0,35.5,Cherbourg,Survived
226,First,Male,28,0,0,35.5,Southampton,Survived
227,First,Male,56,0,0,26.55,Southampton,Did not survive
228,First,Male,56,0,0,30.7,Cherbourg,Did not survive
229,First,Male,24,1,0,60.0,Southampton,Did not survive
230,First,Female,18,1,0,60.0,Southampton,Survived
231,First,Male,24,1,0,82.27,Southampton,Survived
232,First,Female,23,1,0,82.27,Southampton,Survived
233,First,Male,6,0,2,134.5,Cherbourg,Survived
234,First,Male,45,1,1,134.5,Cherbourg,Survived
235,First,Female,40,1,1,134.5,Cherbourg,Survived
236,First,Male,57,1,0,146.52,Cherbourg,Did not survive
237,First,Male,32,0,0,30.5,Cherbourg,Survived
238,First,Male,62,0,0,26.55,Southampton,Did not survive
239,First,Male,54,1,0,55.44,Cherbourg,Survived
240,First,Female,43,1,0,55.44,Cherbourg,Survived
241,First,Female,52,1,0,78.27,Cherbourg,Survived
242,First,Female,62,0,0,80.0,,Survived
243,First,Male,67,1,0,221.78,Southampton,Did not survive
244,First,Female,63,1,0,221.78,Southampton,Did not survive
245,First,Male,61,0,0,32.32,Southampton,Did not survive
246,First,Female,48,0,0,25.93,Southampton,Survived
247,First,Female,18,0,2,79.65,Southampton,Survived
248,First,Male,52,1,1,79.65,Southampton,Did not survive
249,First,Female,39,1,1,79.65,Southampton,Survived
250,First,Male,48,1,0,52.0,Southampton,Survived
251,First,Male,49,1,1,110.88,Cherbourg,Did not survive
252,First,Male,17,0,2,110.88,Cherbourg,Survived
253,First,Female,39,1,1,110.88,Cherbourg,Survived
254,First,Male,31,0,0,28.54,Cherbourg,Survived
255,First,Male,40,0,0,27.72,Cherbourg,Did not survive
256,First,Male,61,0,0,33.5,Southampton,Did not survive
257,First,Male,47,0,0,34.02,Southampton,Did not survive
258,First,Male,64,1,0,75.25,Cherbourg,Did not survive
259,First,Female,60,1,0,75.25,Cherbourg,Survived
260,First,Male,60,0,0,26.55,Southampton,Did not survive
261,First,Male,54,0,1,77.29,Southampton,Did not survive
262,First,Male,21,0,1,77.29,Southampton,Did not survive
263,First,Female,55,0,0,135.63,Cherbourg,Survived
264,First,Female,31,0,2,164.87,Southampton,Survived
265,First,Male,57,1,1,164.87,Southampton,Did not survive
266,First,Female,45,1,1,164.87,Southampton,Survived
267,First,Male,50,1,1,211.5,Cherbourg,Did not survive
268,First,Male,27,0,2,211.5,Cherbourg,Did not survive
269,First,Female,50,1,1,211.5,Cherbourg,Survived
270,First,Female,21,0,0,26.55,Southampton,Survived
271,First,Male,51,0,1,61.38,Cherbourg,Did not survive
272,First,Male,21,0,1,61.38,Cherbourg,Survived
273,First,Female,31,0,0,134.5,Cherbourg,Survived
274,First,Male,62,0,0,26.55,Southampton,Did not survive
275,First,Female,36,0,0,135.63,Cherbourg,Survived
276,Second,Male,30,1,0,24.0,Cherbourg,Did not survive
277,Second,Female,28,1,0,24.0,Cherbourg,Survived
278,Second,Male,30,0,0,13.0,Southampton,Did not survive
279,Second,Male,18,0,0,11.5,Southampton,Did not survive
280,Second,Male,25,0,0,10.5,Southampton,Did not survive
281,Second,Male,34,1,0,26.0,Southampton,Did not survive
282,Second,Female,36,1,0,26.0,Southampton,Survived
283,Second,Male,57,0,0,13.0,Southampton,Did not survive
284,Second,Male,18,0,0,11.5,Southampton,Did not survive
285,Second,Male,23,0,0,10.5,Southampton,Did not survive
286,Second,Female,36,0,0,13.0,Southampton,Survived
287,Second,Male,28,0,0,10.5,Southampton,Did not survive
288,Second,Male,51,0,0,12.52,Southampton,Did not survive
289,Second,Male,32,1,0,26.0,Southampton,Survived
290,Second,Female,19,1,0,26.0,Southampton,Survived
291,Second,Male,28,0,0,26.0,Southampton,Did not survive
292,Second,Male,1,2,1,39.0,Southampton,Survived
293,Second,Female,4,2,1,39.0,Southampton,Survived
294,Second,Female,12,2,1,39.0,Southampton,Survived
295,Second,Female,36,0,3,39.0,Southampton,Survived
296,Second,Male,34,0,0,13.0,Southampton,Survived
297,Second,Female,19,0,0,13.0,Southampton,Survived
298,Second,Male,23,0,0,13.0,Southampton,Did not survive
299,Second,Male,26,0,0,13.0,Southampton,Did not survive
300,Second,Male,42,0,0,13.0,Southampton,Did not survive
301,Second,Male,27,0,0,13.0,Southampton,Did not survive
302,Second,Female,24,0,0,13.0,Southampton,Survived
303,Second,Female,15,0,2,39.0,Southampton,Survived
304,Second,Male,60,1,1,39.0,Southampton,Did not survive
305,Second,Female,40,1,1,39.0,Southampton,Survived
306,Second,Female,20,1,0,26.0,Southampton,Survived
307,Second,Male,25,1,0,26.0,Southampton,Did not survive
308,Second,Female,36,0,0,13.0,Southampton,Survived
309,Second,Male,25,0,0,13.0,Southampton,Did not survive
310,Second,Male,42,0,0,13.0,Southampton,Did not survive
311,Second,Female,42,0,0,13.0,Southampton,Survived
312,Second,Male,1,0,2,29.0,Southampton,Survived
313,Second,Male,26,1,1,29.0,Southampton,Survived
314,Second,Female,22,1,1,29.0,Southampton,Survived
315,Second,Female,35,0,0,21.0,Southampton,Survived
316,Second,Male,19,0,0,13.0,Southampton,Did not survive
317,Second,Female,44,1,0,26.0,Southampton,Did not survive
318,Second,Male,54,1,0,26.0,Southampton,Did not survive
319,Second,Male,52,0,0,13.5,Southampton,Did not survive
320,Second,Male,37,1,0,26.0,Southampton,Did not survive
321,Second,Female,29,1,0,26.0,Southampton,Did not survive
322,Second,Female,25,1,1,30.0,Southampton,Survived
323,Second,Female,45,0,2,30.0,Southampton,Survived
324,Second,Male,29,1,0,26.0,Southampton,Did not survive
325,Second,Female,28,1,0,26.0,Southampton,Survived
326,Second,Male,29,0,0,10.5,Southampton,Did not survive
327,Second,Male,28,0,0,13.0,Southampton,Did not survive
328,Second,Male,24,0,0,10.5,Southampton,Survived
329,Second,Female,8,0,2,26.25,Southampton,Survived
330,Second,Male,31,1,1,26.25,Southampton,Did not survive
331,Second,Female,31,1,1,26.25,Southampton,Survived
332,Second,Female,22,0,0,10.5,Southampton,Survived
333,Second,Female,30,0,0,13.0,Southampton,Did not survive
334,Second,Male,21,0,0,11.5,Southampton,Did not survive
335,Second,Male,8,1,1,36.75,Southampton,Survived
336,Second,Male,18,0,0,73.5,Southampton,Did not survive
337,Second,Female,48,0,2,36.75,Southampton,Survived
338,Second,Female,28,0,0,13.0,Southampton,Survived
339,Second,Male,32,0,0,13.0,Southampton,Did not survive
340,Second,Male,17,0,0,73.5,Southampton,Did not survive
341,Second,Male,29,1,0,27.72,Cherbourg,Did not survive
342,Second,Female,24,1,0,27.72,Cherbourg,Survived
343,Second,Male,25,0,0,31.5,Southampton,Did not survive
344,Second,Male,18,0,0,73.5,Southampton,Did not survive
345,Second,Female,18,0,1,23.0,Southampton,Survived
346,Second,Female,34,0,1,23.0,Southampton,Survived
347,Second,Male,54,0,0,26.0,Southampton,Did not survive
348,Second,Male,8,0,2,32.5,Southampton,Survived
349,Second,Male,42,1,1,32.5,Southampton,Did not survive
350,Second,Female,34,1,1,32.5,Southampton,Survived
351,Second,Female,27,1,0,13.86,Cherbourg,Survived
352,Second,Female,30,1,0,13.86,Cherbourg,Survived
353,Second,Male,23,0,0,13.0,Southampton,Did not survive
354,Second,Male,21,0,0,13.0,Southampton,Did not survive
355,Second,Male,18,0,0,13.0,Southampton,Did not survive
356,Second,Male,40,1,0,26.0,Southampton,Did not survive
357,Second,Female,29,1,0,26.0,Southampton,Survived
358,Second,Male,18,0,0,10.5,Southampton,Did not survive
359,Second,Male,36,0,0,13.0,Southampton,Did not survive
360,Second,Female,38,0,0,13.0,Southampton,Did not survive
361,Second,Male,35,0,0,26.0,Southampton,Did not survive
362,Second,Male,38,1,0,21.0,Southampton,Did not survive
363,Second,Male,34,1,0,21.0,Southampton,Did not survive
364,Second,Female,34,0,0,13.0,Southampton,Survived
365,Second,Male,16,0,0,26.0,Southampton,Did not survive
366,Second,Male,26,0,0,10.5,Southampton,Did not survive
367,Second,Male,47,0,0,10.5,Southampton,Did not survive
368,Second,Male,21,1,0,11.5,Southampton,Did not survive
369,Second,Male,21,1,0,11.5,Southampton,Did not survive
370,Second,Male,24,0,0,13.5,Southampton,Did not survive
371,Second,Male,24,0,0,13.0,Southampton,Did not survive
372,Second,Male,34,0,0,13.0,Southampton,Did not survive
373,Second,Male,30,0,0,13.0,Southampton,Did not survive
374,Second,Male,52,0,0,13.0,Southampton,Did not survive
375,Second,Male,30,0,0,13.0,Southampton,Did not survive
376,Second,Male,1,1,1,14.5,Southampton,Survived
377,Second,Female,24,0,2,14.5,Southampton,Survived
378,Second,Male,44,0,0,13.0,Southampton,Did not survive
379,Second,Female,6,0,1,33.0,Southampton,Survived
380,Second,Male,28,0,1,33.0,Southampton,Did not survive
381,Second,Male,62,0,0,10.5,Southampton,Survived
382,Second,Male,30,0,0,10.5,Southampton,Did not survive
383,Second,Female,7,0,2,26.25,Southampton,Survived
384,Second,Male,43,1,1,26.25,Southampton,Did not survive
385,Second,Female,45,1,1,26.25,Southampton,Survived
386,Second,Female,24,1,2,65.0,Southampton,Survived
387,Second,Female,24,1,2,65.0,Southampton,Survived
388,Second,Male,49,1,2,65.0,Southampton,Did not survive
389,Second,Female,48,1,2,65.0,Southampton,Survived
390,Second,Female,55,0,0,16.0,Southampton,Survived
391,Second,Male,24,2,0,73.5,Southampton,Did not survive
392,Second,Male,32,2,0,73.5,Southampton,Did not survive
393,Second,Male,21,2,0,73.5,Southampton,Did not survive
394,Second,Female,18,1,1,13.0,Southampton,Did not survive
395,Second,Female,20,2,1,23.0,Southampton,Survived
396,Second,Male,23,2,1,11.5,Southampton,Did not survive
397,Second,Male,36,0,0,13.0,Southampton,Did not survive
398,Second,Female,54,1,3,23.0,Southampton,Survived
399,Second,Male,50,0,0,13.0,Southampton,Did not survive
400,Second,Male,44,1,0,26.0,Southampton,Did not survive
401,Second,Female,29,1,0,26.0,Southampton,Survived
402,Second,Male,21,0,0,73.5,Southampton,Did not survive
403,Second,Male,42,0,0,13.0,Southampton,Survived
404,Second,Male,63,1,0,26.0,Southampton,Did not survive
405,Second,Female,60,1,0,26.0,Southampton,Did not survive
406,Second,Male,33,0,0,12.28,Southampton,Did not survive
407,Second,Female,17,0,0,10.5,Southampton,Survived
408,Second,Male,42,1,0,27.0,Southampton,Did not survive
409,Second,Female,24,2,1,27.0,Southampton,Survived
410,Second,Male,47,0,0,15.0,Southampton,Did not survive
411,Second,Male,24,2,0,31.5,Southampton,Did not survive
412,Second,Male,22,2,0,31.5,Southampton,Did not survive
413,Second,Male,32,0,0,10.5,Southampton,Did not survive
414,Second,Female,23,0,0,13.79,Cherbourg,Survived
415,Second,Male,34,1,0,26.0,Southampton,Did not survive
416,Second,Female,24,1,0,26.0,Southampton,Survived
417,Second,Female,22,0,0,21.0,Southampton,Did not survive
418,Second,Male,35,0,0,12.35,Queenstown,Did not survive
419,Second,Female,45,0,0,13.5,Southampton,Survived
420,Second,Male,57,0,0,12.35,Queenstown,Did not survive
421,Second,Male,31,0,0,10.5,Southampton,Did not survive
422,Second,Female,26,1,1,26.0,Southampton,Did not survive
423,Second,Male,30,1,1,26.0,Southampton,Did not survive
424,Second,Female,1,1,2,41.58,Cherbourg,Survived
425,Second,Female,3,1,2,41.58,Cherbourg,Survived
426,Second,Male,25,1,2,41.58,Cherbourg,Did not survive
427,Second,Female,22,1,2,41.58,Cherbourg,Survived
428,Second,Female,17,0,0,12.0,Cherbourg,Survived
429,Second,Female,34,0,0,10.5,Southampton,Survived
430,Second,Male,36,0,0,12.88,Cherbourg,Did not survive
431,Second,Male,24,0,0,10.5,Southampton,Did not survive
432,Second,Male,61,0,0,12.35,Queenstown,Did not survive
433,Second,Male,50,1,0,26.0,Southampton,Did not survive
434,Second,Female,42,1,0,26.0,Southampton,Survived
435,Second,Female,57,0,0,10.5,Southampton,Did not survive
436,Second,Male,1,0,2,37.0,Cherbourg,Survived
437,Second,Male,31,1,1,37.0,Cherbourg,Did not survive
438,Second,Female,24,1,1,37.0,Cherbourg,Survived
439,Second,Male,30,0,0,13.0,Southampton,Did not survive
440,Second,Male,40,0,0,16.0,Southampton,Did not survive
441,Second,Male,32,0,0,13.5,Southampton,Did not survive
442,Second,Male,30,0,0,13.0,Southampton,Did not survive
443,Second,Male,46,0,0,26.0,Southampton,Did not survive
444,Second,Female,13,0,1,19.5,Southampton,Survived
445,Second,Female,41,0,1,19.5,Southampton,Survived
446,Second,Male,19,0,0,10.5,Southampton,Survived
447,Second,Male,39,0,0,13.0,Southampton,Did not survive
448,Second,Male,48,0,0,13.0,Southampton,Did not survive
449,Second,Male,70,0,0,10.5,Southampton,Did not survive
450,Second,Male,27,0,0,13.0,Southampton,Did not survive
451,Second,Male,54,0,0,14.0,Southampton,Did not survive
452,Second,Male,39,0,0,26.0,Southampton,Did not survive
453,Second,Male,16,0,0,10.5,Southampton,Did not survive
454,Second,Male,62,0,0,9.69,Queenstown,Did not survive
455,Second,Male,32,1,0,30.07,Cherbourg,Did not survive
456,Second,Female,14,1,0,30.07,Cherbourg,Survived
457,Second,Male,2,1,1,26.0,Southampton,Survived
458,Second,Male,3,1,1,26.0,Southampton,Survived
459,Second,Male,36,0,2,26.0,Southampton,Did not survive
460,Second,Male,26,0,0,13.0,Southampton,Did not survive
461,Second,Male,19,1,1,36.75,Southampton,Did not survive
462,Second,Male,28,0,0,13.5,Southampton,Did not survive
463,Second,Male,20,0,0,13.86,Cherbourg,Survived
464,Second,Female,29,0,0,10.5,Southampton,Survived
465,Second,Male,39,0,0,13.0,Southampton,Did not survive
466,Second,Male,22,0,0,10.5,Southampton,Survived
467,Second,Male,23,0,0,10.5,Southampton,Did not survive
468,Second,Male,29,0,0,13.86,Cherbourg,Survived
469,Second,Male,28,0,0,10.5,Southampton,Did not survive
470,Second,Female,50,0,1,26.0,Southampton,Survived
471,Second,Male,19,0,0,10.5,Southampton,Did not survive
472,Second,Male,41,0,0,13.0,Southampton,Did not survive
473,Second,Female,21,0,1,21.0,Southampton,Survived
474,Second,Female,19,0,0,26.0,Southampton,Survived
475,Second,Male,43,0,1,21.0,Southampton,Did not survive
476,Second,Female,32,0,0,13.0,Southampton,Survived
477,Second,Male,34,0,0,13.0,Southampton,Did not survive
478,Second,Male,30,0,0,12.74,Cherbourg,Survived
479,Second,Male,27,0,0,15.03,Cherbourg,Did not survive
480,Second,Female,2,1,1,26.0,Southampton,Survived
481,Second,Female,8,1,1,26.0,Southampton,Survived
482,Second,Female,33,0,2,26.0,Southampton,Survived
483,Second,Male,36,0,0,10.5,Southampton,Did not survive
484,Second,Male,34,1,0,21.0,Southampton,Did not survive
485,Second,Female,30,3,0,21.0,Southampton,Survived
486,Second,Female,28,0,0,13.0,Southampton,Survived
487,Second,Male,23,0,0,15.05,Cherbourg,Did not survive
488,Second,Male,1,1,1,18.75,Southampton,Survived
489,Second,Male,3,1,1,18.75,Southampton,Survived
490,Second,Female,24,2,3,18.75,Southampton,Survived
491,Second,Female,50,0,0,10.5,Southampton,Survived
492,Second,Male,19,0,0,10.5,Southampton,Did not survive
493,Second,Female,21,0,0,10.5,Southampton,Survived
494,Second,Male,26,0,0,13.0,Southampton,Did not survive
495,Second,Male,25,0,0,13.0,Southampton,Did not survive
496,Second,Male,27,0,0,26.0,Southampton,Did not survive
